IRALCFY,IRMJFY,IRCIGFM,IRSMKLSS30N,IRALCFM,IRMJFM,IRCIGAGE,IRSMKLSSTRY,IRALCAGE,IRMJAGE,MRJFLAG,ALCFLAG,TOBFLAG,ALCYDAYS,MRJYDAYS,ALCMDAYS,MRJMDAYS,CIGMDAYS,SMKLSMDAYS,SCHFELT,TCHGJOB,AVGGRADE,STNDSCIG,STNDSMJ,STNDALC,STNDDNK,PARCHKHW,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,PRPROUD2,ARGUPAR,YOFIGHT2,YOGRPFT2,YOHGUN2,YOSELL2,YOSTOLE2,YOATTAK2,PRPKCIG2,PRMJEVR2,PRMJMO,PRALDLY2,YFLPKCG2,YFLTMRJ2,YFLMJMO,YFLADLY2,FRDPCIG2,FRDMEVR2,FRDMJMON,FRDADLY2,TALKPROB,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,GRPCNSL2,PREGPGM2,YTHACT2,DRPRVME3,ANYEDUC3,RLGATTD,RLGIMPT,RLGDCSN,RLGFRND,IRSEX,NEWRACE2,HEALTH2,EDUSCHLGO,EDUSCHGRD2,EDUSKPCOM,IMOTHER,IFATHER,INCOME,GOVTPROG,POVERTY3,PDEN10,COUTYP4
991,10,20,91,91,5,17,991,991,17,1,0,1,6,1,5,2,4,5,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,99,99,1,1,2,2,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,2,1,NA,NA,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,7,99,2,1,4,2,3,2,3
36,991,91,1,93,91,991,15,14,991,0,1,1,2,6,5,5,6,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,8,99,1,2,1,1,1,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,4,0,1,2,2,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,5,5,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,7,2,1,4,0,1,1,2,1,2,1,1
1,991,91,91,93,91,991,991,15,991,0,1,0,1,6,5,5,6,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,7,2,1,5,0,1,1,2,2,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,1,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,3,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,4,0,1,1,4,2,3,2,2
991,168,91,91,91,14,991,991,991,14,1,0,0,6,4,5,3,6,5,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,NA,1,NA,1,1,2,2,2,3,1,7,94,1,1,2,1,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,NA,1,2,2,2,2,2,2,1,1,2,2,2,2,1,6,3,1,6,0,1,2,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,7,2,1,3,0,1,1,2,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,1,2,NA,NA,NA,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,3,2,99,99,1,1,3,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,99,99,1,3,1,1,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,7,3,1,3,1,1,1,4,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,7,2,1,3,2,1,1,1,2,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,5,1,1,1,4,2,3,2,2
993,991,91,91,93,91,991,991,11,991,0,1,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,4,0,1,1,4,2,3,2,2
2,991,91,91,93,91,991,991,16,991,0,1,0,1,6,5,5,6,5,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,3,1,8,0,1,1,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,3,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,2,NA,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,5,3,1,3,0,1,1,3,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,NA,1,1,1,2,2,3,1,6,94,1,1,2,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,7,0,1,2,1,1,1,3,3
3,991,91,91,93,91,991,991,15,991,0,1,0,1,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,6,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,1,6,6,5,5,6,5,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,5,0,1,1,3,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,2,NA,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,2,2,2,2,1,2,2,NA,NA,NA,1,5,1,1,4,0,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,99,2,1,4,2,3,1,1
1,991,91,91,93,91,991,991,13,991,0,1,0,1,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,3,1,4,2,2,2,3,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,6,3,1,6,0,1,2,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,7,2,1,7,0,1,1,2,2,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,NA,1,1,NA,1,1,2,1,2,0,1,1,3,2,3,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,NA,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,1,3,1,4,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,7,2,1,7,0,1,1,3,1,2,1,1
5,364,93,93,93,30,14,14,13,13,1,1,1,1,5,5,4,6,5,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,7,99,1,1,4,2,3,1,1
993,240,91,91,93,10,991,991,13,13,1,1,0,6,4,5,3,6,5,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,7,1,1,8,1,1,1,4,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,4,1,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,6,1,1,1,2,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,NA,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,NA,2,2,2,2,2,1,2,2,2,2,2,2,1,7,3,1,7,0,1,1,3,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,4,1,1,2,4,2,3,2,2
13,8,91,91,93,93,991,991,14,14,1,1,1,2,1,5,5,6,5,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,5,0,1,2,3,2,3,2,2
3,10,93,91,2,5,16,991,17,15,1,1,1,1,1,1,2,6,5,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,3,2,99,99,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,NA,NA,2,2,2,2,1,1,1,1,NA,1,1,NA,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,NA,2,2,1,2,2,NA,1,2,1,1,2,2,2,99,99,2,1,2,2,2,2,2
2,991,91,91,93,91,991,991,16,991,0,1,0,1,6,5,5,6,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,8,1,1,2,2,1,1,2,3
991,36,91,91,91,1,991,991,991,15,1,0,0,6,2,5,1,6,5,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,4,1,7,2,1,2,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,7,2,1,6,0,1,2,2,1,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,5,3,1,6,1,1,1,4,2,3,2,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,3,1,8,0,2,2,2,2,2,1,1
9,991,91,91,93,91,991,991,15,991,0,1,0,1,6,5,5,6,5,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,4,2,99,99,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,3,1,3,98,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,1,2,2,1,1,1,NA,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,7,2,1,3,1,3,1,2,2,1,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,7,4,1,5,0,1,2,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,NA,2,2,2,2,1,3,2,1,5,0,1,1,2,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,8,6,2,1,1,1,1,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,NA,2,1,1,1,1,2,1,1,1,4,99,1,1,4,2,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,7,4,1,6,99,1,2,3,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,NA,2,NA,NA,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,5,0,1,1,4,2,3,2,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,7,3,97,98,98,1,2,3,1,3,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,2,2,1,1,1,NA,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,94,1,1,3,2,3,3,3
1,991,91,91,93,91,991,991,16,991,0,1,0,1,6,5,5,6,5,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,7,0,1,1,3,2,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,8,0,1,1,2,1,2,1,1
991,2,91,91,91,2,991,991,991,15,1,0,0,6,1,5,1,6,5,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,6,1,1,1,4,1,2,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,NA,2,2,2,2,1,1,1,1,1,1,1,NA,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,4,0,1,1,4,2,3,2,3
993,991,91,91,93,91,991,991,6,991,0,1,0,6,6,5,5,6,5,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,7,3,2,99,99,1,2,2,2,2,3,3
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,2,2,NA,2,1,NA,NA,NA,1,1,1,2,7,1,1,3,0,1,1,2,2,1,2,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,NA,NA,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,4,1,1,1,2,2,2,3,3
1,991,91,91,1,91,991,991,12,991,0,1,0,1,6,1,5,6,5,1,1,2,2,2,2,2,NA,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,3,0,1,2,2,1,2,1,1
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,5,2,1,4,99,1,1,4,2,3,2,2
991,991,91,91,91,91,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,5,1,1,7,2,1,2,2,1,2,2,1
